Name,Formula,Solubility at 20°C
Potassium cyanide,KCN,50.0
Potassium dichromate,K2Cr2O7,12.3
Potassium dihydrogen arsenate,KH2AsO4,19.0
Potassium dihydrogen phosphate,KH2PO4,22.6
Potassium ferricyanide,K3Fe(CN)6,46.0
Potassium ferrocyanide,K4Fe(CN)6,28.2
Potassium fluoride,KF,94.9
Potassium formate,KHCO2,337.0
Potassium hydrogen carbonate,KHCO3,33.7
Potassium hydrogen phosphate,K2HPO4,150.0
Potassium hydrogen sulfate,KHSO4,48.6
Potassium hydrogen tartrate,KHC4H4O6,0.6
Potassium hydroxide,KOH,112.0
Potassium iodate,KIO3,8.08
Potassium iodide,KI,144.0
Potassium metabisulfite,K2S2O5,45.0
Potassium nitrate,KNO3,31.6
Potassium nitrite,KNO2,306.0
Potassium oxalate,K2C2O4,36.4
Potassium perchlorate,KClO4,1.68
Potassium periodate,KIO4,0.42
Potassium permanganate,KMnO4,6.34
Potassium persulfate,K2S2O8,4.7
Potassium phosphate,K3PO4,92.3
Potassium selenate,K2SeO4,111.0
Potassium sulfate,K2SO4,11.1
Potassium tetraphenylborate,KB(C6H5)4,1.8e-05
Potassium thiocyanate,KSCN,224.0
Potassium thiosulfate,K2S2O3,155.0
Potassium tungstate,K2WO4,51.5
Praseodymium(III) acetate,Pr(C2H3O2)3·H2O,32.0
Praseodymium(III) bromate,Pr(BrO3)3,91.8
Praseodymium(III) chloride,PrCl3,104.0
Praseodymium(III) molybdate,Pr2(MoO4)3,0.0015
Praseodymium(III) nitrate,Pr(NO3)3,112.0
Praseodymium(III) sulfate,Pr2(SO4)3,12.6
Radium chloride,RaCl2,19.6
Radium iodate,Ra(IO3)2,0.04
Radium nitrate,Ra(NO3)2,12.0
Radium sulfate,RaSO4,0.00021
Raffinose,C18H32O16·5H2O,14.0
Rubidium acetate,RbC2H3O2,
Rubidium bromate,RbBrO3,3.6
Rubidium bromide,RbBr,108.0
Rubidium chlorate,RbClO3,5.4
Rubidium chloride,RbCl,91.0
Rubidium chromate,Rb2CrO4,73.6
Rubidium dichromate,Rb2Cr2O7,5.9
Rubidium fluoride,RbF,130.6
Rubidium fluorosilicate,Rb2SiF6,0.157
Rubidium formate,RbHCO2,554.0
Rubidium hydrogen carbonate,RbHCO3,110.0
Rubidium hydroxide,RbOH,180.0
Rubidium iodate,RbIO3,1.96
Rubidium iodide,RbI,144.0
Rubidium nitrate,RbNO3,52.9
Rubidium perchlorate,RbClO4,1.55
Rubidium periodate,RbIO4,0.648
Rubidium permanganate,RbMnO4,1.12
Rubidium phosphate,Rb3PO4,220.0
Rubidium selenate,Rb2SeO4,159.0
Rubidium sulfate,Rb2SO4,48.1
Samarium acetate,Sm(C2H3O2)3·3H2O,15.0
Samarium bromate,Sm(BrO3)3,62.5
Samarium chloride,SmCl3,93.4
Samarium sulfate,Sm2(SO4)3,2.7
Scandium oxalate,Sc2(C2O4)3,0.006
Scandium sulfate,Sc2(SO4)3,54.6
Silicon dioxide,SiO2,0.012
Silver acetate,AgC2H3O2,1.05
Silver azide,AgN3,0.0007931
Silver bromate,AgBrO3,0.16
Silver bromide,AgBr,1.3280000000000002e-05
Silver carbonate,Ag2CO3,0.003489
Silver chlorate,AgClO3,15.3
Silver chloride,AgCl,0.0001923
Silver chlorite,AgClO2,0.248
Silver chromate,Ag2CrO4,0.002157
Silver cyanide,AgCN,1.467e-07
Silver dichromate,Ag2Cr2O7,0.159
Silver fluoride,AgF,172.0
Silver nitrate,AgNO3,216.0
Silver oxalate,Ag2C2O4,0.00327
Silver oxide,Ag2O,0.0012
Silver perchlorate,AgClO4,525.0
Silver permanganate,AgMnO4,0.9
Silver sulfate,Ag2SO4,0.8
Silver vanadate,AgVO3,0.01462
Sodium acetate,NaC2H3O2,46.4
Sodium azide,NaN3,40.8
Sodium benzoate,NaC7H5O2,66.0
Sodium borohydride,NaBH4,55.0
Sodium bromate,NaBrO3,36.4
Sodium bromide,NaBr,90.8
Sodium carbonate,Na2CO3,21.5
Sodium chlorate,NaClO3,95.9
Sodium chloride,NaCl,35.89
Sodium chromate,Na2CrO4,84.0
Sodium cyanide,NaCN,58.7
